t,q0,q1,q2,q3,b1,b2,b3
1.8200000000,0.9999816177,-0.0049433455,0.0012972087,0.0032626521,0.0010734601,0.0000751801,-0.0005603099
1.8300000000,0.9999786046,-0.0051555682,0.0013749263,0.0037841950,0.0010985284,0.0000674089,-0.0006237023
1.8400000000,0.9999803456,-0.0045536588,0.0027109191,0.0033501598,0.0010242038,-0.0000924728,-0.0005731777
1.8500000000,0.9999857709,-0.0040515181,0.0025879948,0.0023120156,0.0009644372,-0.0000777692,-0.0004461684
1.8600000000,0.9999884152,-0.0035960123,0.0027500571,0.0016356430,0.0009081450,-0.0000951577,-0.0003649582
1.8700000000,0.9999878753,-0.0020146565,0.0044773242,-0.0003795298,0.0007158019,-0.0003020958,-0.0001227216
1.8800000000,0.9999896752,-0.0020178409,0.0040713586,0.0000434312,0.0007143739,-0.0002515728,-0.0001727607
1.8900000000,0.9999928269,-0.0022176757,0.0030704153,0.0000238661,0.0007399120,-0.0001303953,-0.0001695249
1.9000000000,0.9999933363,-0.0007980604,0.0035359008,-0.0004334626,0.0005696784,-0.0001859746,-0.0001137227
1.9100000000,0.9999961258,-0.0011209466,0.0023853047,0.0008956462,0.0006085807,-0.0000477175,-0.0002721635
1.9200000000,0.9999935539,-0.0009698159,0.0030980143,0.0015342303,0.0005896703,-0.0001328198,-0.0003479604
1.9300000000,0.9999947873,-0.0010475137,0.0026260237,0.0015595444,0.0005988477,-0.0000754563,-0.0003499572
1.9400000000,0.9999890916,-0.0023820445,0.0014334835,0.0037533472,0.0007586009,0.0000688535,-0.0006128612
1.9500000000,0.9999921990,-0.0020133603,0.0019591291,0.0027767047,0.0007115710,0.0000068158,-0.0004955276
1.9600000000,0.9999919219,-0.0022306834,0.0015684529,0.0029529877,0.0007378928,0.0000541402,-0.0005139366
1.9700000000,0.9999942184,-0.0015565314,0.0023491917,0.0019030499,0.0006562849,-0.0000384278,-0.0003868391
1.9800000000,0.9999945410,-0.0009246091,0.0029637380,0.0011310991,0.0005778540,-0.0001113111,-0.0002945652
1.9900000000,0.9999912812,-0.0000510551,0.0041553544,0.0004097394,0.0004722520,-0.0002543196,-0.0002067992
2.0000000000,0.9999856127,0.0008782768,0.0052690608,0.0004898711,0.0003591987,-0.0003877393,-0.0002156747
2.0100000000,0.9999831095,0.0014910090,0.0056125002,0.0002396547,0.0002854826,-0.0004274179,-0.0001859554
2.0200000000,0.9999795708,0.0017759074,0.0061152211,0.0005552444,0.0002497403,-0.0004875809,-0.0002217032
2.0300000000,0.9999762394,0.0020937623,0.0065485025,0.0005038298,0.0002113076,-0.0005365168,-0.0002136159
2.0400000000,0.9999843404,0.0013292606,0.0052299813,0.0014830321,0.0003040956,-0.0003768622,-0.0003318145
2.0500000000,0.9999810525,0.0014759934,0.0058128588,0.0013880936,0.0002857998,-0.0004463639,-0.0003202425
2.0600000000,0.9999705962,0.0026337977,0.0071987690,-0.0002182313,0.0001443872,-0.0006110986,-0.0001276081
2.0700000000,0.9999702983,0.0026595739,0.0072307748,0.0002123004,0.0001416471,-0.0006129340,-0.0001794141
2.0800000000,0.9999683418,0.0023903914,0.0074890996,0.0012307760,0.0001749501,-0.0006428305,-0.0002987909
